,open,close,high,low,volume,money
2020-01-02,3911.0,3911.0,3922.0,3897.0,1713.0,67042900.0
2020-01-03,3918.0,3916.0,3939.0,3911.0,2493.0,97834900.0
2020-01-06,3911.0,3944.0,3944.0,3902.0,3070.0,120532800.0
2020-01-07,3950.0,3943.0,3965.0,3937.0,2906.0,114865900.0
2020-01-08,3939.0,3959.0,3961.0,3927.0,4248.0,167647200.0
2020-01-09,3946.0,3996.0,4004.0,3946.0,7730.0,308000700.0
2020-01-10,4009.0,4032.0,4095.0,3997.0,10087.0,408305600.0
2020-01-13,4040.0,4038.0,4076.0,4009.0,6381.0,257787600.0
2020-01-14,4043.0,4039.0,4048.0,4019.0,5703.0,229958100.0
2020-01-15,4031.0,4035.0,4100.0,4014.0,3160.0,127261800.0
2020-01-16,4033.0,3991.0,4052.0,3972.0,8159.0,326526000.0
2020-01-17,3992.0,3975.0,3992.0,3958.0,7685.0,305375400.0
2020-01-20,3967.0,3991.0,4000.0,3960.0,5394.0,214669300.0
2020-01-21,3988.0,3958.0,4000.0,3958.0,5560.0,221238700.0
2020-01-22,3962.0,4000.0,4000.0,3947.0,4600.0,182415800.0
2020-01-23,3994.0,3967.0,4004.0,3960.0,2262.0,89940600.0
2020-02-03,3910.0,3886.0,3942.0,3819.0,3936.0,153258200.0
2020-02-04,3909.0,3963.0,3971.0,3880.0,4824.0,190160000.0
2020-02-05,3958.0,3940.0,3970.0,3940.0,3263.0,128827800.0
2020-02-06,3952.0,3960.0,3968.0,3931.0,3921.0,155136600.0
2020-02-07,3943.0,3968.0,3975.0,3943.0,2470.0,97858000.0
2020-02-10,3961.0,4056.0,4086.0,3961.0,9295.0,375911900.0
2020-02-11,4045.0,4063.0,4088.0,4045.0,7044.0,286520400.0
2020-02-12,4068.0,4072.0,4081.0,4038.0,5712.0,232163600.0
2020-02-13,4040.0,4087.0,4150.0,4040.0,19060.0,783213300.0
2020-02-14,4120.0,4078.0,4120.0,4072.0,7233.0,295390000.0
2020-02-17,4082.0,4102.0,4107.0,4069.0,8117.0,332200800.0
2020-02-18,4117.0,4075.0,4117.0,4062.0,6888.0,281366700.0
2020-02-19,4080.0,4122.0,4122.0,4075.0,7534.0,308688200.0
2020-02-20,4142.0,4050.0,4142.0,4050.0,10924.0,445471900.0
2020-02-21,4056.0,4083.0,4086.0,4040.0,7432.0,301673400.0
2020-02-24,4060.0,4074.0,4090.0,4060.0,7981.0,325131600.0
2020-02-25,4063.0,4074.0,4085.0,4056.0,7250.0,295041100.0
2020-02-26,4069.0,4094.0,4107.0,4069.0,12551.0,513582800.0
2020-02-27,4099.0,4096.0,4109.0,4068.0,9019.0,368389500.0
2020-02-28,4092.0,4002.0,4119.0,4001.0,17220.0,702681700.0
2020-03-02,4003.0,4070.0,4080.0,3997.0,12260.0,496205800.0
2020-03-03,4045.0,4062.0,4095.0,4045.0,8011.0,325717900.0
2020-03-04,4055.0,4114.0,4117.0,4050.0,10733.0,438483700.0
2020-03-05,4124.0,4141.0,4157.0,4091.0,19821.0,820526400.0
2020-03-06,4125.0,4095.0,4155.0,4082.0,16873.0,692555900.0
