,display_name,name,start_date,end_date,type
150097.XSHE,商品B,SPB,2012-07-25,2017-06-28,fjb
150098.XSHE,同庆800A,TQ800A,2012-05-31,2015-05-20,lof
150099.XSHE,同庆800B,TQ800B,2012-05-31,2015-05-20,lof
150100.XSHE,资源A,ZYA,2012-10-18,2020-12-31,fja
150101.XSHE,资源B,ZYB,2012-10-18,2020-12-31,fjb
150104.XSHE,HS300A,HS300A,2012-07-23,2020-06-16,fja
150105.XSHE,HS300B,HS300B,2012-07-23,2020-06-16,fjb
150106.XSHE,中小A,ZXA,2012-10-25,2019-09-19,fja
150107.XSHE,中小B,ZXB,2012-10-25,2019-09-19,fjb
150108.XSHE,同辉100A,TH100A,2012-09-26,2017-09-12,fja
150109.XSHE,同辉100B,TH100B,2012-09-26,2017-09-12,fjb
150110.XSHE,华商500A,HS500A,2012-09-26,2015-05-11,lof
150111.XSHE,华商500B,HS500B,2012-09-26,2015-05-11,lof
150112.XSHE,深100A,S100A,2012-11-05,2018-04-13,fja
150113.XSHE,深100B,S100B,2012-11-05,2018-04-13,fjb
150117.XSHE,房地产A,FDCA,2013-03-07,2020-12-31,fja
150118.XSHE,房地产B,FDCB,2013-03-07,2020-12-31,fjb
150121.XSHE,银河优先,YHYX,2013-06-06,2018-08-30,fja
150122.XSHE,银河进取,YHJQ,2013-06-06,2018-08-30,fjb
150123.XSHE,建信50A,JX50A,2013-05-20,2020-12-31,fja
150124.XSHE,建信50B,JX50B,2013-05-20,2020-12-31,fjb
150130.XSHE,医药A,YYA,2013-09-11,2020-12-31,fja
150131.XSHE,医药B,YYB,2013-09-11,2020-12-31,fjb
150133.XSHE,德信A,DXA,2013-06-03,2017-04-19,fja
150134.XSHE,德信B,DXB,2013-06-03,2017-04-19,fjb
150135.XSHE,国富100A,GF100A,2015-04-10,2020-03-26,fja
150136.XSHE,国富100B,GF100B,2015-04-10,2020-03-26,fjb
150138.XSHE,中证800A,ZZ800A,2013-12-11,2019-04-15,fja
150139.XSHE,中证800B,ZZ800B,2013-12-11,2019-04-15,fjb
150140.XSHE,国金300A,GJ300A,2013-08-23,2017-08-30,fja
150141.XSHE,国金300B,GJ300B,2013-08-23,2017-08-30,fjb
150143.XSHE,转债A级,ZZAJ,2013-08-28,2020-07-28,fja
150144.XSHE,转债B级,ZZBJ,2013-08-28,2020-07-28,fjb
150145.XSHE,高贝塔A,GBTA,2013-09-02,2020-11-12,fja
150146.XSHE,高贝塔B,GBTB,2013-09-02,2020-11-12,fjb
150148.XSHE,医药800A,YY800A,2013-09-06,2020-12-31,fja
150149.XSHE,医药800B,YY800B,2013-09-06,2020-12-31,fjb
150150.XSHE,有色800A,YS800A,2013-09-18,2020-12-31,fja
150151.XSHE,有色800B,YS800B,2013-09-18,2020-12-31,fjb
150152.XSHE,创业板A,CYBA,2013-09-30,2020-12-31,fja
150153.XSHE,创业板B,CYBB,2013-09-30,2020-12-31,fjb
150157.XSHE,金融A,JRA,2014-01-22,2020-12-31,fja
150158.XSHE,金融B,JRB,2014-01-22,2020-12-31,fjb
150164.XSHE,可转债A,KZZA,2014-06-06,2020-08-10,fja
150165.XSHE,可转债B,KZZB,2014-06-06,2020-08-10,fjb
150167.XSHE,银华300A,YH300A,2014-01-21,2020-11-26,fja
150168.XSHE,银华300B,YH300B,2014-01-21,2020-11-26,fjb
150169.XSHE,恒生A,HSA,2014-04-11,2020-11-27,fja
150170.XSHE,恒生B,HSB,2014-04-11,2020-11-27,fjb
150171.XSHE,证券A,ZQA,2014-03-31,2020-12-31,fja
150172.XSHE,证券B,ZQB,2014-03-31,2020-12-31,fjb
150173.XSHE,TMT中证A,TMTZZA,2014-12-22,2020-12-31,fja
150174.XSHE,TMT中证B,TMTZZB,2014-12-22,2020-12-31,fjb
150175.XSHE,恒中企A,HGA,2014-05-12,2020-12-31,fja
150176.XSHE,恒中企B,HGB,2014-05-12,2020-12-31,fjb
150177.XSHE,证保A,ZBA,2014-05-19,2020-12-31,fja
150178.XSHE,证保B,ZBB,2014-05-19,2020-12-31,fjb
150179.XSHE,信息A,XXA,2014-05-19,2020-12-31,fja
150180.XSHE,信息B,XXB,2014-05-19,2020-12-31,fjb
150181.XSHE,军工A,JGA,2014-04-23,2020-12-31,fja
150182.XSHE,军工B,JGB,2014-04-23,2020-12-31,fjb
150184.XSHE,环保A,HBA,2014-06-16,2020-10-20,fja
150185.XSHE,环保B,HBB,2014-06-16,2020-10-20,fjb
150186.XSHE,军工A级,JGAJ,2014-08-11,2020-12-31,fja
150187.XSHE,军工B级,JGBJ,2014-08-11,2020-12-31,fjb
150188.XSHE,转债优先,ZZYX,2014-08-25,2020-11-04,fja
150189.XSHE,转债进取,ZZJQ,2014-08-25,2020-11-06,fjb
150190.XSHE,NCF环保A,NCFHBA,2014-10-16,2020-11-30,fja
150191.XSHE,NCF环保B,NCFHBB,2014-10-16,2020-11-30,fjb
150192.XSHE,地产A,DCA,2014-09-23,2020-12-31,fja
150193.XSHE,地产B,DCB,2014-09-23,2020-12-31,fjb
150194.XSHE,互联网A,HLWA,2014-09-22,2020-12-31,fja
150195.XSHE,互联网B,HLWB,2014-09-22,2020-12-31,fjb
150196.XSHE,有色A,YSA,2015-04-15,2020-12-31,fja
150197.XSHE,有色B,YSB,2015-04-15,2020-12-31,fjb
150198.XSHE,食品A,SPA,2014-11-05,2020-12-31,fja
150199.XSHE,食品B,SPB,2014-11-05,2020-12-31,fjb
150200.XSHE,券商A,QSA,2014-11-28,2020-12-31,fja
150201.XSHE,券商B,QSB,2014-11-28,2020-12-31,fjb
150203.XSHE,传媒A,CMA,2014-12-22,2020-12-31,fja
150204.XSHE,传媒B,CMB,2014-12-22,2020-12-31,fjb
150205.XSHE,国防A,GFA,2014-12-05,2020-12-31,fja
150206.XSHE,国防B,GFB,2014-12-05,2020-12-31,fjb
150207.XSHE,地产A端,DCAD,2014-12-12,2020-12-31,fja
150208.XSHE,地产B端,DCBD,2014-12-12,2020-12-31,fjb
150209.XSHE,国企改A,GQGA,2014-12-30,2020-12-31,fja
150210.XSHE,国企改B,GQGB,2014-12-30,2020-12-31,fjb
150211.XSHE,新能车A,XNCA,2015-04-13,2020-12-31,fja
150212.XSHE,新能车B,XNCB,2015-04-13,2020-12-31,fjb
150213.XSHE,成长A级,CZAJ,2015-03-27,2020-07-02,fja
150214.XSHE,成长B级,CZBJ,2015-03-27,2020-07-02,fjb
150215.XSHE,TMTA,TMTA,2015-04-10,2020-12-01,fja
150216.XSHE,TMTB,TMTB,2015-04-10,2020-12-01,fjb
150217.XSHE,新能源A,XNYA,2015-04-09,2020-11-25,fja
150218.XSHE,新能源B,XNYB,2015-04-09,2020-11-25,fjb
150219.XSHE,健康A,JKA,2015-05-08,2020-12-16,fja
150220.XSHE,健康B,JKB,2015-05-08,2020-12-16,fjb
150221.XSHE,中航军A,ZHJA,2015-04-20,2020-12-31,fja
150222.XSHE,中航军B,ZHJB,2015-04-20,2020-12-31,fjb
150223.XSHE,证券A级,ZQAJ,2015-04-10,2020-12-31,fja
150224.XSHE,证券B级,ZQBJ,2015-04-10,2020-12-31,fjb
150225.XSHE,证保A级,ZBAJ,2015-05-28,2020-08-04,fja
150226.XSHE,证保B级,ZBBJ,2015-05-28,2020-08-04,fjb
150227.XSHE,银行A,YHA,2015-04-28,2020-12-31,fja
150228.XSHE,银行B,YHB,2015-04-28,2020-12-31,fjb
150229.XSHE,酒A,JA,2015-05-11,2020-12-31,fja
150230.XSHE,酒B,JB,2015-05-11,2020-12-31,fjb
150231.XSHE,电子A,DZA,2015-05-28,2020-11-06,fja
150232.XSHE,电子B,DZB,2015-05-28,2020-11-06,fjb
150233.XSHE,传媒业A,CMYA,2015-06-10,2018-08-21,fja
150234.XSHE,传媒业B,CMYB,2015-06-10,2018-08-21,fjb
150235.XSHE,券商A级,QSAJ,2015-05-15,2020-12-31,fja
150236.XSHE,券商B级,QSBJ,2015-05-15,2020-12-31,fjb
150237.XSHE,环保A级,HBAJ,2015-06-26,2020-12-31,fja
150238.XSHE,环保B级,HBBJ,2015-06-26,2020-12-31,fjb
150241.XSHE,银行A级,YHAJ,2015-05-13,2019-05-09,fja
150242.XSHE,银行B级,YHBJ,2015-05-13,2019-05-09,fjb
150243.XSHE,创业A,CYA,2015-07-06,2020-12-31,fja
150244.XSHE,创业B,CYB,2015-07-06,2020-12-31,fjb
150245.XSHE,互联A,HLA,2015-06-26,2020-12-31,fja
150246.XSHE,互联B,HLB,2015-06-26,2020-12-31,fjb
150247.XSHE,传媒A级,CMAJ,2015-05-29,2020-11-24,fja
150248.XSHE,传媒B级,CMBJ,2015-05-29,2020-11-24,fjb
150249.XSHE,银行A端,YHAD,2015-05-28,2020-12-31,fja
150250.XSHE,银行B端,YHBD,2015-05-28,2020-12-31,fjb
150251.XSHE,煤炭A,MTA,2015-05-28,2020-12-31,fja
150252.XSHE,煤炭B,MTB,2015-05-28,2020-12-31,fjb
150255.XSHE,银行业A,YHYA,2015-06-11,2020-08-04,fja
150256.XSHE,银行业B,YHYB,2015-06-11,2020-08-04,fjb
150257.XSHE,生物A,SWA,2015-06-11,2020-11-30,fja
