,open,close,high,low,volume,money
2020-01-02,4.16,4.24,4.24,4.16,9413504.0,39640884.24
2020-01-03,4.24,4.29,4.31,4.22,10941338.0,46711271.49
2020-01-06,4.26,4.3,4.35,4.22,12632699.0,53942523.89
2020-01-07,4.29,4.36,4.37,4.27,12219616.0,52971138.97
2020-01-08,4.32,4.28,4.37,4.25,11372800.0,49029004.0
2020-01-09,4.3,4.32,4.36,4.28,9501701.0,40975567.28
2020-01-10,4.35,4.29,4.49,4.27,23829611.0,104008029.9
2020-01-13,4.32,4.31,4.35,4.24,11549455.0,49492855.99
2020-01-14,4.28,4.28,4.34,4.28,9471099.0,40751195.07
2020-01-15,4.28,4.21,4.29,4.17,9538096.0,40168211.96
2020-01-16,4.22,4.14,4.23,4.13,5995800.0,24976110.0
2020-01-17,4.16,4.1,4.17,4.09,5495848.0,22704840.64
2020-01-20,4.1,4.14,4.16,4.05,5142711.0,21145128.67
2020-01-21,4.14,4.09,4.15,4.08,5033200.0,20693761.0
2020-01-22,4.06,4.08,4.11,3.97,6915787.0,27926986.87
2020-01-23,4.09,3.96,4.1,3.9,9792082.0,39075537.9
2020-02-03,3.56,3.56,3.56,3.56,1215700.0,4327892.0
2020-02-04,3.2,3.41,3.43,3.2,13234945.0,44054302.86
2020-02-05,3.4,3.47,3.55,3.36,9143687.0,31801699.28
2020-02-06,3.47,3.51,3.54,3.42,8816911.0,30878315.11
2020-02-07,3.55,3.59,3.6,3.5,6866365.0,24339549.04
2020-02-10,3.56,3.65,3.67,3.54,6817287.0,24721968.68
2020-02-11,3.65,3.64,3.71,3.61,7025012.0,25655652.14
2020-02-12,3.64,3.7,3.71,3.61,5631410.0,20672703.9
2020-02-13,3.69,3.58,3.74,3.51,9946984.0,36128915.98
2020-02-14,3.58,3.62,3.65,3.56,6211300.0,22435432.0
2020-02-17,3.63,3.74,3.74,3.62,7214144.0,26677241.53
2020-02-18,3.73,3.78,3.8,3.71,7694800.0,28894496.0
2020-02-19,3.73,3.72,3.8,3.72,7171600.0,26976528.0
2020-02-20,3.74,3.83,3.85,3.71,10184700.0,38580144.0
2020-02-21,3.84,3.86,3.9,3.83,7086863.0,27410218.88
2020-02-24,3.88,3.85,3.92,3.78,8696126.0,33373348.56
2020-02-25,3.78,3.75,3.78,3.63,11693300.0,43484339.0
2020-02-26,3.69,3.76,3.86,3.68,10908355.0,41222397.3
2020-02-27,3.77,3.73,3.82,3.72,5711058.0,21471588.58
2020-02-28,3.66,3.54,3.67,3.54,10168714.0,36534483.86
2020-03-02,3.58,3.7,3.7,3.56,6486041.0,23710798.01
2020-03-03,3.74,3.75,3.8,3.67,8314253.0,31040994.28
2020-03-04,3.74,3.88,3.88,3.72,13607392.0,51966094.87
2020-03-05,3.9,3.94,3.94,3.85,11711652.0,45675562.76
2020-03-06,3.89,3.9,3.95,3.84,7911600.0,30753228.0
2020-03-09,3.87,3.75,3.88,3.74,9726200.0,36901044.0
2020-03-10,3.71,3.81,3.82,3.63,8775540.0,32710697.16
2020-03-11,3.82,3.84,3.92,3.79,9814801.0,37837902.9
2020-03-12,3.8,3.73,3.84,3.7,6223852.0,23393839.81
2020-03-13,3.5,3.66,3.7,3.47,7338635.0,26341523.3
2020-03-16,3.7,3.57,3.78,3.53,7777865.0,28584353.37
2020-03-17,3.58,3.52,3.67,3.45,6605269.0,23369908.97
2020-03-18,3.57,3.37,3.57,3.35,8677802.0,30103263.74
2020-03-19,3.35,3.39,3.47,3.31,7355800.0,24807757.0
2020-03-20,3.41,3.43,3.45,3.36,5447480.0,18543655.0
2020-03-23,3.36,3.3,3.38,3.29,5478500.0,18271707.48
2020-03-24,3.34,3.36,3.37,3.29,4303084.0,14340668.5
2020-03-25,3.42,3.51,3.53,3.39,7940300.0,27486561.0
2020-03-26,3.48,3.46,3.53,3.44,4817300.0,16780711.0
2020-03-27,3.5,3.46,3.55,3.45,4679940.0,16373198.2
2020-03-30,3.45,3.38,3.45,3.31,4533000.0,15271557.0
2020-03-31,3.42,3.36,3.45,3.35,3053865.0,10356262.75
2020-04-01,3.34,3.31,3.39,3.31,4280102.0,14343821.62
2020-04-02,3.31,3.38,3.38,3.28,5954702.0,19870920.62
2020-04-03,3.38,3.56,3.68,3.34,13405890.0,46469536.04
2020-04-07,3.52,3.54,3.58,3.49,12959407.0,45844215.49
2020-04-08,3.74,3.58,3.74,3.55,10711510.0,38896605.1
2020-04-09,3.58,3.66,3.68,3.55,9527102.0,34658145.28
2020-04-10,3.63,3.53,3.65,3.52,6324210.0,22627971.1
2020-04-13,3.52,3.47,3.54,3.42,4716110.0,16412430.4
2020-04-14,3.47,3.54,3.55,3.46,3875100.0,13667282.0
2020-04-15,3.56,3.49,3.56,3.47,4670000.0,16402840.0
2020-04-16,3.47,3.45,3.47,3.42,4108700.0,14158664.0
2020-04-17,3.45,3.46,3.49,3.44,3960900.0,13751752.0
2020-04-20,3.45,3.41,3.48,3.39,4918500.0,16830197.0
2020-04-21,3.38,3.41,3.41,3.35,3542002.0,11982139.8
2020-04-22,3.36,3.47,3.49,3.36,5017204.0,17237346.7
2020-04-23,3.48,3.46,3.5,3.44,3397402.0,11781885.94
2020-04-24,3.46,3.38,3.49,3.37,3734300.0,12741041.0
2020-04-27,3.37,3.36,3.42,3.35,2801080.0,9470214.4
2020-04-28,3.35,3.28,3.4,3.19,4555000.0,14892696.0
2020-04-29,3.3,3.29,3.35,3.28,2630467.0,8696995.12
2020-04-30,3.28,3.39,3.46,3.28,4325600.0,14607912.32
2020-05-06,3.38,3.43,3.51,3.38,4774500.0,16333648.0
2020-05-07,3.42,3.39,3.46,3.39,3482448.0,11899939.64
2020-05-08,3.39,3.41,3.43,3.39,2848300.0,9710986.0
2020-05-11,3.4,3.4,3.44,3.38,2989900.0,10205140.0
2020-05-12,3.39,3.34,3.4,3.31,3100500.0,10372866.0
2020-05-13,3.34,3.34,3.35,3.3,1840000.0,6121326.0
2020-05-14,3.33,3.33,3.37,3.31,2286300.0,7629825.0
2020-05-15,3.36,3.39,3.44,3.35,4777889.0,16227309.09
2020-05-18,3.36,3.39,3.44,3.35,3504123.0,11911856.82
2020-05-19,3.4,3.39,3.44,3.36,2839904.0,9641775.87
2020-05-20,3.4,3.34,3.4,3.33,3245600.0,10870800.0
2020-05-21,3.37,3.31,3.4,3.3,2558602.0,8509270.64
2020-05-22,3.31,3.24,3.31,3.21,3157300.0,10248072.0
2020-05-25,3.23,3.24,3.27,3.22,1929700.0,6258746.0
2020-05-26,3.33,3.29,3.33,3.25,2434400.0,7985995.0
