,open,close,high,low,volume,money
2020-01-02,4.84,4.81,4.86,4.79,13994241.0,67452865.7
2020-01-03,4.81,4.89,4.94,4.8,18582288.0,90465551.38
2020-01-06,4.86,4.87,4.9,4.81,12018315.0,58411416.1
2020-01-07,4.87,4.89,4.93,4.85,9789854.0,47801845.51
2020-01-08,4.89,4.8,4.89,4.8,12025162.0,58202404.01
2020-01-09,4.84,4.88,4.91,4.81,9078212.0,44163030.49
2020-01-10,4.89,4.87,4.96,4.84,15104191.0,73756328.34
2020-01-13,4.88,4.93,4.94,4.83,12872129.0,63029064.24
2020-01-14,4.95,4.9,4.95,4.88,11323543.0,55579117.89
2020-01-15,4.9,4.88,4.91,4.8,10016692.0,48605650.23
2020-01-16,4.88,4.8,4.88,4.79,9392068.0,45298251.98
2020-01-17,4.82,4.77,4.83,4.76,5547094.0,26615852.73
2020-01-20,4.76,4.79,4.8,4.72,9063601.0,43253649.61
2020-01-21,4.78,4.67,4.79,4.63,13765218.0,64672119.47
2020-01-22,4.67,4.69,4.7,4.61,8506242.0,39634716.13
2020-01-23,4.66,4.53,4.66,4.49,14847383.0,67834760.52
2020-02-03,4.07,4.07,4.07,4.07,4292217.0,17486191.0
2020-02-04,3.75,3.96,4.03,3.75,17206037.0,67924347.99
2020-02-05,3.97,4.01,4.11,3.94,12452905.0,50130040.57
2020-02-06,4.04,4.07,4.07,3.96,10351036.0,41680544.86
2020-02-07,4.07,4.03,4.08,3.98,12864371.0,51626397.18
2020-02-10,3.98,4.09,4.1,3.97,11048118.0,44806847.74
2020-02-11,4.08,4.15,4.23,4.08,15860340.0,66000391.27
2020-02-12,4.16,4.16,4.19,4.1,9574441.0,39676735.51
2020-02-13,4.18,4.15,4.26,4.11,10775072.0,45089536.07
2020-02-14,4.15,4.21,4.23,4.12,10430955.0,43552076.41
2020-02-17,4.2,4.31,4.32,4.19,13897463.0,59233568.11
2020-02-18,4.3,4.29,4.35,4.26,11413023.0,48939037.59
2020-02-19,4.3,4.31,4.39,4.27,13797523.0,59758927.47
2020-02-20,4.31,4.35,4.37,4.28,11972992.0,51801721.68
2020-02-21,4.32,4.36,4.39,4.31,12171654.0,52946623.05
