,open,close,high,low,volume,money
2020-01-02,4.2,4.25,4.38,4.17,7926702.0,33506793.74
2020-01-03,4.27,4.22,4.27,4.2,5649385.0,23864564.64
2020-01-06,4.2,4.2,4.26,4.15,8322573.0,34974136.05
2020-01-07,4.2,4.24,4.25,4.18,6232749.0,26262977.17
2020-01-08,4.23,4.16,4.25,4.14,4530404.0,18986919.0
2020-01-09,4.18,4.24,4.27,4.17,5469049.0,23059138.18
2020-01-10,4.27,4.3,4.31,4.24,8944524.0,38289013.99
2020-01-13,4.33,4.42,4.52,4.3,12323003.0,54220992.55
2020-01-14,4.4,4.4,4.47,4.39,7768406.0,34360635.66
2020-01-15,4.4,4.31,4.46,4.3,5250437.0,22849099.45
2020-01-16,4.33,4.27,4.33,4.25,4313210.0,18456072.4
2020-01-17,4.3,4.24,4.3,4.23,3252426.0,13839196.9
2020-01-20,4.24,4.28,4.29,4.2,3557729.0,15085447.4
2020-01-21,4.25,4.15,4.25,4.13,5764624.0,24013588.66
2020-01-22,4.13,4.15,4.16,4.08,3415704.0,14062308.0
2020-01-23,4.11,3.99,4.13,3.97,5806061.0,23466610.46
2020-02-03,3.59,3.59,3.62,3.59,3649477.0,13114826.0
2020-02-04,3.47,3.53,3.57,3.46,6044780.0,21257840.87
2020-02-05,3.53,3.58,3.62,3.53,5519688.0,19797065.54
2020-02-06,3.58,3.62,3.63,3.54,5643072.0,20242533.51
2020-02-07,3.61,3.6,3.62,3.56,5931511.0,21275457.0
2020-02-10,3.58,3.68,3.69,3.58,4452838.0,16253415.98
2020-02-11,3.69,3.68,3.71,3.66,4460447.0,16424779.02
2020-02-12,3.69,3.7,3.7,3.67,3773053.0,13904063.0
2020-02-13,3.7,3.65,3.7,3.62,4515383.0,16526032.97
2020-02-14,3.62,3.63,3.67,3.61,3223597.0,11706686.0
2020-02-17,3.63,3.72,3.72,3.63,5295751.0,19500849.45
2020-02-18,3.71,3.76,3.77,3.69,5446472.0,20337690.97
2020-02-19,3.77,3.78,3.82,3.73,7445036.0,28085421.63
2020-02-20,3.79,3.88,3.9,3.77,8189329.0,31358995.07
2020-02-21,3.85,3.9,3.9,3.84,5901196.0,22790247.39
2020-02-24,3.87,3.87,3.89,3.83,5827058.0,22474680.8
2020-02-25,3.78,3.81,3.82,3.71,6016940.0,22705496.32
2020-02-26,3.76,3.83,3.88,3.74,5467424.0,20869867.77
