,open,close,high,low,volume,money
2020-01-02,6.05,6.0,6.07,5.97,12586574.0,75800758.11
2020-01-03,6.07,5.95,6.07,5.92,11359768.0,67742222.24
2020-01-06,5.9,5.81,5.91,5.79,16489654.0,96248416.01
2020-01-07,5.84,5.81,5.86,5.77,12811068.0,74310457.88
2020-01-08,5.81,5.69,5.85,5.69,13681889.0,78626916.48
2020-01-09,5.71,5.74,5.79,5.71,11957499.0,68775358.48
2020-01-10,5.77,5.74,5.82,5.72,11111086.0,64040391.5
2020-01-13,5.74,5.85,5.88,5.63,16210434.0,93266302.27
2020-01-14,5.9,5.88,5.94,5.79,18895424.0,110950944.9
2020-01-15,5.83,5.76,5.85,5.72,13431216.0,77680625.52
2020-01-16,6.03,5.86,6.03,5.85,23186749.0,137798298.29
2020-01-17,5.87,5.75,5.88,5.75,10944762.0,63449417.28
2020-01-20,5.76,5.76,5.79,5.71,8634496.0,49620670.25
2020-01-21,5.76,5.66,5.76,5.65,8498317.0,48278842.09
2020-01-22,5.41,5.56,5.66,5.41,8091032.0,44965377.22
2020-01-23,5.57,5.44,5.71,5.4,10139622.0,56021195.3
2020-02-03,4.9,4.9,4.9,4.9,2345735.0,11501451.0
2020-02-04,4.41,4.87,5.1,4.41,18385753.0,88771246.11
2020-02-05,4.88,4.91,5.0,4.86,14107104.0,69511183.1
2020-02-06,4.92,5.21,5.26,4.91,20517189.0,104405388.46
2020-02-07,5.36,5.73,5.73,5.14,31796867.0,172547662.59
2020-02-10,5.82,5.75,5.89,5.61,31032891.0,178001093.63
2020-02-11,5.75,5.57,5.75,5.55,14937121.0,83925675.83
2020-02-12,5.56,5.6,5.64,5.54,12999779.0,72708604.41
2020-02-13,5.63,5.62,5.71,5.51,16949576.0,94736195.25
2020-02-14,5.7,5.76,5.87,5.64,26487359.0,153054581.53
2020-02-17,5.77,5.78,5.81,5.7,21560847.0,124215210.52
2020-02-18,5.79,5.67,5.79,5.59,27121698.0,153593823.77
2020-02-19,5.67,5.49,5.67,5.47,24837138.0,138183245.29
2020-02-20,5.5,5.52,5.55,5.41,15820606.0,86945402.68
2020-02-21,5.54,5.5,5.57,5.46,18207072.0,100417837.94
2020-02-24,5.47,5.54,5.62,5.47,18984493.0,105511147.22
2020-02-25,5.46,5.37,5.46,5.18,28784612.0,153932739.9
2020-02-26,5.26,5.28,5.38,5.26,19335562.0,102907140.25
2020-02-27,5.35,5.31,5.39,5.23,18199569.0,96784000.41
2020-02-28,5.18,5.03,5.24,4.95,23597363.0,119792627.03
2020-03-02,5.07,5.21,5.26,5.06,17730084.0,91762057.34
2020-03-03,5.27,5.36,5.47,5.22,25236495.0,134955940.94
2020-03-04,5.39,5.38,5.54,5.33,20482503.0,111173351.74
2020-03-05,5.42,5.4,5.45,5.36,18179374.0,98203337.96
2020-03-06,5.39,5.31,5.39,5.29,16125806.0,85843302.93
2020-03-09,5.22,5.09,5.27,5.09,16993392.0,87867631.15
2020-03-10,5.0,5.16,5.18,4.96,15666774.0,79495141.09
2020-03-11,5.18,5.14,5.25,5.13,11872054.0,61570490.15
2020-03-12,5.1,4.99,5.11,4.94,14208364.0,71212342.43
2020-03-13,4.79,4.93,4.99,4.51,15400761.0,74186052.23
2020-03-16,5.01,4.8,5.03,4.79,11619798.0,57200348.97
2020-03-17,4.8,4.84,4.86,4.66,10655223.0,50906047.07
2020-03-18,4.87,4.76,4.93,4.75,8979897.0,43590301.95
2020-03-19,4.73,4.68,4.79,4.59,11031022.0,51428489.68
2020-03-20,4.73,4.77,4.77,4.67,6396826.0,30228988.58
2020-03-23,4.67,4.59,4.68,4.56,7569574.0,34953558.38
2020-03-24,4.64,4.62,4.66,4.51,8380415.0,38454722.36
2020-03-25,4.71,4.75,4.84,4.63,13108953.0,61866365.31
2020-03-26,4.74,4.65,4.74,4.64,6915047.0,32324225.13
2020-03-27,4.69,4.68,4.75,4.62,11902297.0,55667386.0
2020-03-30,4.62,4.55,4.62,4.53,7010642.0,31998137.0
2020-03-31,4.61,4.54,4.61,4.53,4577444.0,20859137.99
2020-04-01,4.53,4.53,4.58,4.52,7208345.0,32796806.65
2020-04-02,4.42,4.56,4.58,4.42,6293181.0,28387421.92
2020-04-03,4.61,4.69,4.74,4.55,13617179.0,63527095.05
2020-04-07,4.77,4.8,4.81,4.72,11738249.0,56161634.76
2020-04-08,4.79,4.8,4.85,4.75,9401805.0,45137740.93
2020-04-09,4.83,4.78,4.83,4.77,6824400.0,32701018.0
2020-04-10,4.79,4.68,4.79,4.66,6405406.0,30193972.0
2020-04-13,4.71,4.77,4.8,4.62,8184611.0,38818402.16
2020-04-14,4.8,4.78,4.81,4.74,6706330.0,31937094.96
2020-04-15,4.79,4.68,4.79,4.67,8220767.0,38681123.84
2020-04-16,4.66,4.66,4.7,4.63,6689054.0,31114302.76
2020-04-17,4.66,4.66,4.71,4.62,6184053.0,28839375.0
2020-04-20,4.66,4.67,4.71,4.63,5409774.0,25247551.0
2020-04-21,4.67,4.65,4.67,4.62,5294670.0,24558117.37
2020-04-22,4.7,5.01,5.09,4.66,39745651.0,196903295.32
2020-04-23,4.97,4.89,4.97,4.87,17779824.0,87336437.08
2020-04-24,4.91,4.8,4.91,4.78,9481964.0,45774682.0
2020-04-27,4.84,4.83,4.86,4.78,8925351.0,42923525.62
2020-04-28,4.83,4.77,4.84,4.64,9959622.0,47216570.32
2020-04-29,4.72,4.87,4.95,4.72,11439532.0,55611658.64
2020-04-30,4.94,4.95,4.97,4.87,15363912.0,75698033.31
2020-05-06,4.92,4.99,5.01,4.9,13880796.0,68886409.99
2020-05-07,4.98,4.9,4.98,4.87,12643638.0,62123586.29
2020-05-08,4.91,4.9,4.93,4.87,9796831.0,48042124.7
2020-05-11,4.93,4.86,4.93,4.84,8668864.0,42322805.89
2020-05-12,4.87,4.85,4.89,4.82,6177336.0,30005339.0
2020-05-13,4.85,4.91,4.95,4.8,11876568.0,58162286.28
2020-05-14,4.87,4.83,4.89,4.81,7381198.0,35827762.49
2020-05-15,4.84,4.82,4.87,4.8,5880950.0,28418188.43
2020-05-18,4.83,4.75,4.83,4.71,10467093.0,49845025.8
2020-05-19,4.77,4.76,4.82,4.73,7372954.0,35116445.12
2020-05-20,4.74,4.68,4.74,4.67,7637117.0,35847333.44
2020-05-21,4.69,4.7,4.74,4.68,6126756.0,28821915.0
2020-05-22,4.7,4.66,4.77,4.65,6770419.0,31734455.07
2020-05-25,4.7,4.63,4.7,4.58,5552198.0,25600869.29
2020-05-26,4.63,4.66,4.66,4.6,4826774.0,22362493.01
2020-05-27,4.77,4.74,4.87,4.74,14395004.0,69122187.44
2020-05-28,4.76,4.66,4.76,4.64,7269376.0,34074453.7
2020-05-29,4.68,4.72,4.75,4.65,7071320.0,33201865.8
2020-06-01,4.79,4.79,4.83,4.72,8464574.0,40535651.26
2020-06-02,4.8,4.82,4.83,4.76,8806188.0,42200832.78
2020-06-03,4.83,4.78,4.84,4.76,7498536.0,36015400.0
2020-06-04,4.8,4.79,4.86,4.77,8004239.0,38507468.55
2020-06-05,4.78,4.78,4.81,4.74,7374115.0,35209269.08
2020-06-08,4.8,4.8,4.85,4.77,7274227.0,34957083.36
2020-06-09,4.8,4.79,4.81,4.76,5407899.0,25807435.93
2020-06-10,4.79,4.75,4.79,4.72,5340031.0,25310383.74
2020-06-11,4.75,4.69,4.75,4.67,6661871.0,31354503.0
2020-06-12,4.62,4.69,4.69,4.57,6009348.0,27894350.34
2020-06-15,4.69,4.76,4.79,4.67,9073012.0,43013416.23
2020-06-16,4.78,4.81,4.82,4.75,10764440.0,51588466.77
2020-06-17,4.81,4.89,4.89,4.78,15995631.0,77631893.13
2020-06-18,4.89,4.85,4.9,4.83,9074115.0,44085801.94
2020-06-19,4.86,4.85,4.87,4.82,7646514.0,37013976.87
2020-06-22,4.87,4.88,4.9,4.82,11310620.0,55136664.98
2020-06-23,4.92,4.95,5.05,4.84,18782033.0,92930462.46
2020-06-24,4.97,4.94,4.98,4.92,6927937.0,34293068.37
2020-06-29,4.93,4.98,4.98,4.82,11826978.0,58295899.27
2020-06-30,4.98,5.01,5.01,4.97,8544649.0,42691078.58
2020-07-01,5.05,5.0,5.05,4.95,10053617.0,50273025.14
2020-07-02,5.01,5.02,5.03,4.97,9307411.0,46617738.0
2020-07-03,5.04,5.16,5.26,5.02,19090419.0,98641419.1
2020-07-06,5.17,5.3,5.31,5.04,23565059.0,123465728.01
2020-07-07,5.3,5.26,5.35,5.2,26079765.0,137013640.51
2020-07-08,5.22,5.27,5.29,5.12,25953740.0,135002420.06
2020-07-09,5.27,5.31,5.35,5.22,24128401.0,127399054.0
2020-07-10,5.28,5.36,5.46,5.2,34023928.0,182403503.95
2020-07-13,5.38,5.6,5.66,5.36,43261336.0,239220543.85
2020-07-14,5.6,5.49,5.7,5.35,34577712.0,189932239.97
2020-07-15,5.47,5.6,5.77,5.37,37474693.0,208428522.72
2020-07-16,5.65,5.31,5.78,5.29,38424619.0,215363535.6
2020-07-17,5.23,5.38,5.56,5.23,30647428.0,165580090.47
2020-07-20,5.41,5.63,5.66,5.38,34237276.0,190901393.73
2020-07-21,5.61,5.57,5.63,5.51,24860211.0,138213547.57
2020-07-22,5.6,5.48,5.61,5.46,23663685.0,130872080.1
2020-07-23,5.4,5.34,5.5,5.26,20320472.0,108715055.58
2020-07-24,5.34,5.07,5.35,5.01,19457518.0,100864757.5
2020-07-27,5.08,4.98,5.12,4.92,13818134.0,69008344.94
2020-07-28,5.0,5.02,5.07,4.98,7943702.0,39930230.88
2020-07-29,5.02,5.1,5.13,4.94,14413275.0,72919502.86
2020-07-30,5.1,5.04,5.12,5.02,10420314.0,52729624.22
2020-07-31,5.05,5.1,5.12,5.0,11848393.0,60081207.02
2020-08-03,5.12,5.22,5.24,5.12,13388494.0,69559669.44
2020-08-04,5.22,5.28,5.37,5.18,17634601.0,93058802.66
2020-08-05,5.29,5.2,5.29,5.17,10629868.0,55311094.18
2020-08-06,5.21,5.14,5.23,5.08,10895845.0,56014343.57
2020-08-07,5.14,5.06,5.15,5.01,10504284.0,53255073.4
2020-08-10,5.06,5.18,5.2,5.04,15035515.0,77242410.01
2020-08-11,5.18,5.06,5.21,5.03,9673905.0,49641638.92
2020-08-12,5.09,5.08,5.1,4.97,10415918.0,52256116.58
2020-08-13,5.04,5.08,5.13,5.03,9991535.0,50767775.55
2020-08-14,5.07,5.18,5.2,5.04,15187986.0,77930237.73
2020-08-17,5.19,5.22,5.23,5.13,18851046.0,97847189.65
2020-08-18,5.22,5.23,5.28,5.18,14677588.0,76643985.26
2020-08-19,5.23,5.2,5.27,5.17,14192948.0,74087422.57
2020-08-20,5.22,5.14,5.24,5.13,10804042.0,55946455.29
2020-08-21,5.15,5.19,5.21,5.14,9105959.0,47191547.25
2020-08-24,5.21,5.21,5.29,5.18,12935994.0,67658450.62
2020-08-25,5.22,5.17,5.25,5.15,10400860.0,53999455.29
2020-08-26,5.17,5.28,5.39,5.14,30253568.0,159788019.23
2020-08-27,5.27,5.23,5.31,5.13,18570552.0,96700414.71
2020-08-28,5.21,5.21,5.22,5.14,10332425.0,53531943.26
2020-08-31,5.3,5.24,5.34,5.22,15899735.0,83574363.41
2020-09-01,5.24,5.18,5.26,5.14,9838848.0,50931700.72
2020-09-02,5.22,5.23,5.28,5.16,17758305.0,92760824.56
2020-09-03,5.24,5.13,5.25,5.12,13844794.0,71703319.92
2020-09-04,5.05,5.04,5.05,4.96,11799765.0,59129622.97
2020-09-07,5.03,4.97,5.07,4.93,9772329.0,49005147.32
2020-09-08,4.97,5.03,5.05,4.96,8053824.0,40354551.82
2020-09-09,5.0,5.01,5.11,4.98,10812188.0,54616641.51
2020-09-10,5.04,4.88,5.05,4.86,15663555.0,77770484.38
2020-09-11,4.88,4.91,4.92,4.76,9472702.0,45813790.0
2020-09-14,4.92,4.96,4.98,4.89,6506160.0,32160869.0
2020-09-15,4.98,4.94,4.98,4.91,5814292.0,28795376.8
2020-09-16,4.94,4.87,4.95,4.86,6907989.0,33843079.0
2020-09-17,4.87,4.94,4.97,4.81,12525639.0,61442123.9
2020-09-18,4.95,4.94,4.95,4.85,9169403.0,44975578.88
2020-09-21,4.94,4.87,4.94,4.86,8715521.0,42645425.0
2020-09-22,4.84,4.78,4.84,4.77,7977270.0,38280267.0
2020-09-23,4.79,4.77,4.81,4.74,6012161.0,28648910.0
2020-09-24,4.76,4.64,4.76,4.63,7634228.0,35653176.2
2020-09-25,4.64,4.65,4.68,4.63,3787025.0,17593781.0
2020-09-28,4.67,4.63,4.7,4.61,4124836.0,19189903.36
2020-09-29,4.63,4.66,4.7,4.62,6262857.0,29187259.66
2020-09-30,4.66,4.61,4.67,4.6,5276845.0,24451115.65
2020-10-09,4.67,4.67,4.7,4.63,7480530.0,34963224.92
2020-10-12,4.68,4.77,4.8,4.65,13534070.0,64048224.01
2020-10-13,4.78,4.74,4.78,4.72,5280628.0,25002395.64
2020-10-14,4.72,4.7,4.74,4.68,5579887.0,26265784.27
2020-10-15,4.7,4.69,4.72,4.66,4693263.0,21966638.99
2020-10-16,4.68,4.69,4.73,4.67,4071477.0,19107856.0
2020-10-19,4.72,4.66,4.74,4.64,4540746.0,21278043.49
2020-10-20,4.65,4.66,4.66,4.59,4971185.0,22969302.46
2020-10-21,4.63,4.62,4.65,4.59,4386358.0,20234443.0
2020-10-22,4.59,4.55,4.6,4.55,5857942.0,26789581.14
2020-10-23,4.56,4.58,4.64,4.56,4898213.0,22510740.04
2020-10-26,4.59,4.52,4.6,4.49,7234247.0,32704435.96
2020-10-27,4.51,4.47,4.51,4.47,4461705.0,20022515.42
2020-10-28,4.47,4.42,4.48,4.4,10249014.0,45365367.53
2020-10-29,4.39,4.36,4.39,4.33,8406147.0,36694414.88
2020-10-30,4.36,4.3,4.41,4.29,9203866.0,39985557.28
2020-11-02,4.3,4.3,4.34,4.28,6498807.0,28029987.68
2020-11-03,4.32,4.38,4.41,4.32,5738079.0,25077665.22
2020-11-04,4.39,4.35,4.41,4.33,3583321.0,15621580.64
2020-11-05,4.62,4.5,4.62,4.47,14720163.0,66715585.24
2020-11-06,4.51,4.44,4.52,4.41,6740723.0,29946446.24
2020-11-09,4.46,4.5,4.52,4.44,6670525.0,29934838.88
2020-11-10,4.5,4.49,4.53,4.45,5502976.0,24713387.66
2020-11-11,4.49,4.44,4.5,4.42,4293498.0,19086465.53
2020-11-12,4.44,4.49,4.53,4.42,4855661.0,21729961.76
2020-11-13,4.47,4.43,4.47,4.39,5852815.0,25918992.56
2020-11-16,4.44,4.48,4.48,4.42,7019191.0,31260811.0
2020-11-17,4.48,4.5,4.57,4.45,8980636.0,40525425.0
2020-11-18,4.48,4.51,4.53,4.48,6366054.0,28686275.85
2020-11-19,4.5,4.49,4.52,4.47,5510850.0,24711067.24
2020-11-20,4.48,4.5,4.51,4.48,5180686.0,23280776.0
2020-11-23,4.5,4.54,4.58,4.48,11007852.0,49763972.76
2020-11-24,4.54,4.51,4.54,4.49,5080220.0,22921687.93
2020-11-25,4.52,4.47,4.53,4.46,6461890.0,29084113.28
2020-11-26,4.47,4.43,4.48,4.4,6322729.0,28009142.26
2020-11-27,4.43,4.43,4.45,4.38,3530432.0,15586804.48
