,open,close,high,low,volume,money
2020-01-02,4.54,4.56,4.59,4.49,11360799.0,51549200.86
2020-01-03,4.6,4.53,4.62,4.51,8189801.0,37230966.0
2020-01-06,4.5,4.54,4.58,4.47,8115912.0,36795532.61
2020-01-07,4.55,4.58,4.59,4.53,8398209.0,38309273.32
2020-01-08,4.57,4.49,4.57,4.49,8079426.0,36544519.3
2020-01-09,4.52,4.66,4.66,4.52,14369528.0,66094250.14
2020-01-10,4.66,4.6,4.7,4.57,8273914.0,38212579.62
2020-01-13,4.57,4.63,4.63,4.56,4925942.0,22631665.0
2020-01-14,4.63,4.6,4.64,4.58,6006691.0,27674306.0
2020-01-15,4.6,4.54,4.61,4.51,5549917.0,25316121.0
2020-01-16,4.55,4.51,4.57,4.5,4669080.0,21147355.0
2020-01-17,4.54,4.53,4.57,4.51,4926818.0,22368164.0
2020-01-20,4.61,4.68,4.7,4.61,13358148.0,62111138.0
2020-01-21,4.76,4.85,4.93,4.7,25548546.0,123077956.86
2020-01-22,4.83,4.68,4.83,4.62,16451274.0,77217609.0
2020-01-23,4.69,4.7,4.78,4.53,14697896.0,68766394.12
2020-02-03,4.66,4.4,4.66,4.23,19934757.0,89746674.67
2020-02-04,4.46,4.83,4.83,4.41,22556433.0,105559189.67
2020-02-05,5.07,5.18,5.29,4.56,40376287.0,204018255.1
2020-02-06,5.07,5.7,5.7,5.01,52031075.0,289048618.09
2020-02-07,5.86,5.52,6.22,5.52,61963614.0,363981877.84
2020-02-10,5.48,5.36,5.72,5.14,37939462.0,203500995.41
2020-02-11,5.31,5.32,5.37,5.09,21443713.0,112036998.58
2020-02-12,5.34,5.45,5.55,5.25,28072084.0,152377430.77
2020-02-13,5.53,5.23,5.59,5.2,18423988.0,98248771.37
2020-02-14,5.26,5.06,5.33,5.03,17401529.0,89132031.54
2020-02-17,5.04,5.1,5.13,5.04,13938603.0,70951319.53
2020-02-18,5.14,5.11,5.16,5.05,13045669.0,66467240.39
2020-02-19,5.09,4.94,5.1,4.91,16254311.0,81065009.19
2020-02-20,4.92,4.9,4.96,4.81,14179446.0,69090686.42
2020-02-21,4.88,4.94,4.95,4.88,11443999.0,56302970.24
2020-02-24,4.96,5.05,5.07,4.95,14665630.0,73684583.48
2020-02-25,4.98,5.4,5.44,4.9,30818050.0,160252804.22
2020-02-26,5.33,5.14,5.33,5.11,18140295.0,94288212.56
2020-02-27,5.12,5.01,5.16,4.97,10397332.0,52369967.99
2020-02-28,4.87,4.84,4.99,4.81,9423148.0,46180500.0
2020-03-02,4.92,5.0,5.02,4.88,6470895.0,32105487.03
2020-03-03,5.05,4.99,5.1,4.95,9766644.0,49179570.77
2020-03-04,4.9,4.85,4.9,4.71,17821360.0,85866765.05
2020-03-05,4.85,4.9,4.9,4.83,12398605.0,60335105.2
2020-03-06,4.86,4.97,5.12,4.83,16722355.0,83415210.36
2020-03-09,4.93,4.96,5.07,4.87,15721602.0,77978378.0
2020-03-10,4.81,4.9,4.94,4.66,12933796.0,62248273.1
2020-03-11,4.93,4.86,4.93,4.86,7919505.0,38761898.15
2020-03-12,4.82,4.73,4.86,4.71,6012388.0,28670729.95
2020-03-13,4.58,4.59,4.68,4.46,11228339.0,51577803.0
2020-03-16,4.64,4.57,4.75,4.54,8243247.0,38358018.0
2020-03-17,4.56,4.53,4.63,4.36,7062622.0,31583879.4
2020-03-18,4.55,4.46,4.62,4.46,4580735.0,20857698.67
2020-03-19,4.46,4.45,4.49,4.36,5506550.0,24338519.78
2020-03-20,4.49,4.55,4.55,4.46,4677374.0,21088509.79
2020-03-23,4.52,4.51,4.6,4.47,5547876.0,25249235.13
2020-03-24,4.55,4.57,4.58,4.44,4673169.0,21165781.2
2020-03-25,4.62,4.65,4.66,4.57,5688207.0,26323070.79
2020-03-26,4.65,4.66,4.73,4.63,5926084.0,27677058.0
2020-03-27,4.69,4.61,4.7,4.61,5185404.0,24082273.2
2020-03-30,4.66,4.75,4.86,4.62,11412598.0,53998536.92
2020-03-31,4.71,4.92,4.96,4.68,17207807.0,82958208.01
2020-04-01,4.9,4.75,4.93,4.74,12408104.0,60035850.59
2020-04-02,4.66,4.65,4.66,4.52,9768085.0,44970519.14
2020-04-03,4.66,4.59,4.7,4.57,6276840.0,29046951.21
2020-04-07,4.66,4.78,4.86,4.62,13233894.0,62704779.5
2020-04-08,4.75,4.83,4.85,4.71,12853719.0,61566004.98
2020-04-09,4.83,4.88,4.97,4.79,16200963.0,79116641.33
2020-04-10,5.0,4.92,5.14,4.87,27287750.0,136526397.1
2020-04-13,4.87,5.06,5.12,4.86,21765429.0,109517037.23
2020-04-14,4.97,5.0,5.03,4.86,14782977.0,73155394.7
2020-04-15,4.94,5.16,5.19,4.94,24636325.0,125718787.15
2020-04-16,5.05,5.02,5.12,4.96,18514390.0,93160463.96
2020-04-17,5.04,5.15,5.34,4.92,24209909.0,123401087.39
2020-04-20,5.11,5.09,5.15,5.01,12663205.0,64330140.42
2020-04-21,5.07,4.9,5.07,4.9,13461564.0,66905068.04
2020-04-22,4.85,4.83,4.86,4.74,12505204.0,59971166.03
2020-04-23,4.83,4.88,4.96,4.81,9817424.0,48034903.11
2020-04-24,4.86,4.76,4.88,4.66,13547260.0,64118201.57
2020-04-27,4.74,4.78,4.82,4.67,7128939.0,33978197.23
2020-04-28,4.76,4.63,4.79,4.53,6451490.0,29928403.0
2020-04-29,4.6,4.62,4.68,4.58,3982751.0,18446721.92
2020-04-30,4.64,4.84,4.84,4.64,8369203.0,39815364.58
2020-05-06,5.27,5.03,5.27,4.97,24644321.0,125093677.85
2020-05-07,4.99,5.06,5.22,4.99,22154633.0,113059341.15
2020-05-08,5.05,5.57,5.57,5.01,40855819.0,219671776.15
2020-05-11,5.71,5.44,5.73,5.39,49964320.0,276168962.97
2020-05-12,5.46,5.33,5.55,5.2,31460001.0,168532756.17
2020-05-13,5.33,5.27,5.37,5.2,19590021.0,103361092.4
2020-05-14,5.27,5.1,5.31,5.09,20893746.0,107880349.99
2020-05-15,5.12,5.08,5.16,5.07,14614283.0,74694831.45
2020-05-18,5.07,4.99,5.09,4.93,13271703.0,66207133.15
2020-05-19,5.0,5.01,5.07,4.99,10952933.0,55078787.29
2020-05-20,5.02,4.91,5.03,4.88,11500264.0,56572185.4
2020-05-21,4.91,4.94,4.96,4.89,6460128.0,31801918.7
2020-05-22,4.95,5.02,5.18,4.92,20952027.0,106025959.81
