沪深A股（包含科创板，不包含退市整理板块和ST板块）:
000698.XSHE: 沈阳化工
000700.XSHE: 模塑科技
000701.XSHE: 厦门信达
000702.XSHE: 正虹科技
000703.XSHE: 恒逸石化
000705.XSHE: 浙江震元
000707.XSHE: 双环科技
000708.XSHE: 中信特钢
000709.XSHE: 河钢股份
000710.XSHE: 贝瑞基因
000712.XSHE: 锦龙股份
000713.XSHE: 丰乐种业
000715.XSHE: 中兴商业
000716.XSHE: 黑芝麻
000717.XSHE: 中南股份
000718.XSHE: 苏宁环球
000719.XSHE: 中原传媒
000720.XSHE: 新能泰山
000721.XSHE: 西安饮食
000722.XSHE: 湖南发展
000723.XSHE: 美锦能源
000725.XSHE: 京东方A
000726.XSHE: 鲁泰A
000727.XSHE: 冠捷科技
000728.XSHE: 国元证券
000729.XSHE: 燕京啤酒
000731.XSHE: 四川美丰
000733.XSHE: 振华科技
000735.XSHE: 罗牛山
000736.XSHE: 中交地产
000737.XSHE: 北方铜业
000738.XSHE: 航发控制
000739.XSHE: 普洛药业
000750.XSHE: 国海证券
000751.XSHE: 锌业股份
000753.XSHE: 漳州发展
000755.XSHE: 山西高速
000756.XSHE: 新华制药
000757.XSHE: 浩物股份
000758.XSHE: 中色股份
000759.XSHE: 中百集团
000761.XSHE: 本钢板材
000762.XSHE: 西藏矿业
000766.XSHE: 通化金马
000767.XSHE: 晋控电力
000768.XSHE: 中航西飞
000776.XSHE: 广发证券
000777.XSHE: 中核科技
000778.XSHE: 新兴铸管
000779.XSHE: 甘咨询
000782.XSHE: 美达股份
000783.XSHE: 长江证券
000785.XSHE: 居然之家
000786.XSHE: 北新建材
000788.XSHE: 北大医药
000789.XSHE: 万年青
000790.XSHE: 华神科技
000791.XSHE: 甘肃能源
000792.XSHE: 盐湖股份
000793.XSHE: 华闻集团
000795.XSHE: 英洛华
000797.XSHE: 中国武夷
000798.XSHE: 中水渔业
000799.XSHE: 酒鬼酒
000800.XSHE: 一汽解放
000801.XSHE: 四川九洲
000802.XSHE: 北京文化
000803.XSHE: 山高环能
000807.XSHE: 云铝股份
000810.XSHE: 创维数字
000811.XSHE: 冰轮环境
000812.XSHE: 陕西金叶
000813.XSHE: 德展健康
000815.XSHE: 美利云
000816.XSHE: 智慧农业
000818.XSHE: 航锦科技
000819.XSHE: 岳阳兴长
000820.XSHE: 神雾节能
000821.XSHE: 京山轻机
000822.XSHE: 山东海化
000823.XSHE: 超声电子
000825.XSHE: 太钢不锈
000826.XSHE: 启迪环境
000828.XSHE: 东莞控股
000829.XSHE: 天音控股
000830.XSHE: 鲁西化工
000831.XSHE: 中国稀土
000833.XSHE: 粤桂股份
000837.XSHE: 秦川机床
000838.XSHE: 财信发展
000839.XSHE: 中信国安
000848.XSHE: 承德露露
000850.XSHE: 华茂股份
000852.XSHE: 石化机械
000856.XSHE: 冀东装备
000858.XSHE: 五粮液
000859.XSHE: 国风新材
000860.XSHE: 顺鑫农业
000861.XSHE: 海印股份
000862.XSHE: 银星能源
000863.XSHE: 三湘印象
000868.XSHE: 安凯客车
000869.XSHE: 张裕A
000875.XSHE: 吉电股份
000876.XSHE: 新希望
000877.XSHE: 天山股份
000878.XSHE: 云南铜业
000880.XSHE: 潍柴重机
000881.XSHE: 中广核技
000882.XSHE: 华联股份
000883.XSHE: 湖北能源
000885.XSHE: 城发环境
000886.XSHE: 海南高速
000887.XSHE: 中鼎股份
000888.XSHE: 峨眉山A
000890.XSHE: 法尔胜
000892.XSHE: 欢瑞世纪
000893.XSHE: 亚钾国际
000895.XSHE: 双汇发展
000897.XSHE: 津滨发展
000898.XSHE: 鞍钢股份
000899.XSHE: 赣能股份
000900.XSHE: 现代投资
000901.XSHE: 航天科技
000902.XSHE: 新洋丰
000903.XSHE: 云内动力
000905.XSHE: 厦门港务
000906.XSHE: 浙商中拓
000910.XSHE: 大亚圣象
000911.XSHE: 广农糖业
000912.XSHE: 泸天化
000913.XSHE: 钱江摩托
000915.XSHE: 华特达因
000917.XSHE: 电广传媒
000919.XSHE: 金陵药业
000920.XSHE: 沃顿科技
000921.XSHE: 海信家电
000922.XSHE: 佳电股份
000923.XSHE: 河钢资源
000925.XSHE: 众合科技
000926.XSHE: 福星股份
000927.XSHE: 中国铁物
000928.XSHE: 中钢国际
000929.XSHE: 兰州黄河
000930.XSHE: 中粮科技
000931.XSHE: 中关村
000932.XSHE: 华菱钢铁
000933.XSHE: 神火股份
000935.XSHE: 四川双马
000936.XSHE: 华西股份
000937.XSHE: 冀中能源
000938.XSHE: 紫光股份
000948.XSHE: 南天信息
000949.XSHE: 新乡化纤
000950.XSHE: 重药控股
000951.XSHE: 中国重汽
000952.XSHE: 广济药业
000953.XSHE: 河化股份
000955.XSHE: 欣龙控股
000957.XSHE: 中通客车
000958.XSHE: 电投产融
000959.XSHE: 首钢股份
000960.XSHE: 锡业股份
000962.XSHE: 东方钽业
000963.XSHE: 华东医药
000965.XSHE: 天保基建
000966.XSHE: 长源电力
000967.XSHE: 盈峰环境
000968.XSHE: 蓝焰控股
000969.XSHE: 安泰科技
000970.XSHE: 中科三环
000972.XSHE: 中基健康
000973.XSHE: 佛塑科技
000975.XSHE: 银泰黄金
000977.XSHE: 浪潮信息
000978.XSHE: 桂林旅游
000980.XSHE: 众泰汽车
000981.XSHE: 山子高科
000982.XSHE: 中银绒业
000983.XSHE: 山西焦煤
000985.XSHE: 大庆华科
000987.XSHE: 越秀资本
000988.XSHE: 华工科技
000990.XSHE: 诚志股份
000993.XSHE: 闽东电力
000995.XSHE: 皇台酒业
000996.XSHE: 中期退
000997.XSHE: 新大陆
000998.XSHE: 隆平高科
000999.XSHE: 华润三九
001201.XSHE: 东瑞股份
001202.XSHE: 炬申股份
001203.XSHE: 大中矿业
001205.XSHE: 盛航股份
001206.XSHE: 依依股份
001207.XSHE: 联科科技
001208.XSHE: 华菱线缆
001209.XSHE: 洪兴股份
001210.XSHE: 金房能源
001211.XSHE: 双枪科技
001212.XSHE: 中旗新材
001213.XSHE: 中铁特货
001215.XSHE: 千味央厨
001216.XSHE: 华瓷股份
001217.XSHE: 华尔泰
001218.XSHE: 丽臣实业
001219.XSHE: 青岛食品
